Site Name,Project Type,City/County,State,Country,Operational Date,System Size (MW)
Amazon Solar Farm Delaware - Solidago,Solar,Newcastle County,Delaware,United States,2020,50
Amazon Solar + Storage Farm California - Silver Peak,Solar + Storage,San Bernadino,California,United States,2022,50
Amazon Solar Farm Ohio - Blue Harvest,Solar,Putnam,Ohio,United States,2020,49.9
Amazon Solar Farm Ohio - Timber Road,Solar,Paulding,Ohio,United States,2020,49.9
Amazon Solar Farm Ohio - Fayette,Solar,Fayette,Ohio,United States,2022,47.5
Amazon Wind Farm Germany- Windanker,Wind,Kern,California,United States,2018,46.5
Amazon Solar Farm Ohio - Great Bear,Solar,Clermont County,Ohio,United States,2020,46
Amazon Solar Farm Maryland - Morgnec,Solar,Kent,Maryland,United States,2023,45
Amazon Wind Farm Oklahoma - White Rock,Solar,Pittsylvania,Virginia,United States,2019,45
Amazon Solar Farm Georgia - Bird Dog,Solar,Burke County,Georgia,United States,2022,40
Amazon Solar Farm Texas - Jungmann,Solar,"Milam County, TX",Texas,United States,2023,40
Amazon Solar Farm Georgia - Sonny,Solar,Elbert,Georgia,United States,2021,40
Amazon Solar Farm Georgia - Wolfskin,Solar,Oglethorpe County,Georgia,United States,2022,38
Amazon Solar Farm Indiana - Maple,Solar,Huntington,Indiana,United States,2021,35
Amazon Solar Farm Pennsylvania - Potter,Solar,Potter,Pennsylvania,United States,2020,30
Amazon Solar Farm Spain - Valdezorita,Solar,"New Kent, Buckingham, Sussex, Powhatan",Virginia,United States,2016,20
Amazon Solar Farm Virginia - New Kent,Solar,"New Kent, Buckingham, Sussex, Powhatan",Virginia,United States,2016,20
Amazon Solar Farm Virginia - Buckingham,Solar,"New Kent, Buckingham, Sussex, Powhatan",Virginia,United States,2016,20
Amazon Solar Farm Spain - Valle Del Sol Energias Renovables,Solar,"New Kent, Buckingham, Sussex, Powhatan",Virginia,United States,2016,19.8
Amazon Solar Farm Texas - BT Signal Ranch,Solar,Hunt County,Texas,United States,2026,51.84
Amazon Solar Farm South Africa - Springbok,Solar,Westmoreland,Pennsylvania,United States,2023,13.8
Amazon Wind Farm - Leaning Juniper 2A,Wind,Gilliam,Oregon,United States,2024,90.3
Amazon Wind Farm - Osagrove Flats,Wind,LaSalle,Illinois,United States,2024,150
Amazon Solar + Storage- Bellefield,Solar + Storage,Kern County (Please do no put on interactive map),California,United States,2021,500
Amazon Solar + Storage - Bellefield 2,Solar + Storage,Kern,California,United States,2024,500
Amazon Solar Farm Japan III,Solar,"Greater Tokyo, Kansai, Chubu, Chugoku, and Tohoku",Japan,Japan,2023,16.335
Amazon Solar Farm Spain - Tordesillas,Solar,Castile and León,Spain,Spain,2024,201.6
Amazon Solar Farm Spain - Guadajoz,Solar,Andalucia,Spain,Spain,2023,32
Amazon Solar Farm Pennsylvania – Spring Lane,Solar,South Africa,South Africa,South Africa,2023,18
Amazon Solar Plant Spain - Don Rodrigo,Solar,Andalucia,Spain,Spain,2023,34.11
Amazon Solar Farm Spain – Navarredonda,Solar,Madrid,Spain,Spain,2024,38.27
Amazon Solar Farm Italy - Terzo D'Aquileia,Solar,Italy,Italy,Italy,2023,24.8
Amazon Solar Farm Italy - La Manganizza,Solar,Italy,Italy,Italy,2023,6.4
Amazon Solar Farm Spain – Cierzo IV,Solar,Navarre,Spain,Spain,2024,37.1
Amazon Solar Farm Spain – Cierzo II,Solar,Navarre,Spain,Spain,2024,36.9
Amazon Solar Farm Spain – Morata de Tajuna,Solar,Madrid,Spain,Spain,2023,36.4
Amazon Solar Farm Spain - Las Coronadas,Solar,Andalucia,Spain,Spain,2023,32
Amazon Wind Farm UK- East Anglia 3,Offshore Wind,United Kingdom,United Kingdom,United Kingdom,2024,159
Amazon Wind Farm Spain - Rueda Sur Wind 1,Wind,Aragon,Spain,Spain,2023,36
Amazon Wind Farm Poland – Jastrowie,Wind,Poland,Poland,Poland,2023,30.3
Amazon Wind Farm Poland – Okonek,Wind,Poland,Poland,Poland,2023,22.8
Amazon Wind Farm Spain - Rueda Sur Wind 2,Wind,Aragon,Spain,Spain,2023,36
Amazon Wind Farm Spain - Rueda Sur Wind 3,Wind,Aragon,Spain,Spain,2023,36
Amazon Solar Farm Spain – Ubierna,Wind,Castile and León,Spain,Spain,2024,36.45
Amazon Wind Farm Ireland - Derrinlough,Wind,Ireland,Ireland,Ireland,2024,105
Amazon Solar Farm Japan - Kadamatsu,Solar,Japan,Japan,Japan,2024,9.5
