business,name,city,state,country,energyType,date,size,longitude,latitude
AWS ,Amazon Solar Farm Kentucky - Garrard,Garrard County,Kentucky,US,Solar farm,2022,50,-84.574,37.595
AWS,Amazon Solar Farm Texas - Stoneridge,Milam County,Texas,US,Solar farm,2025,200,-97.11,30.55
AWS,Amazon Wind Farm Indiana - Fowler Ridge,Benton County,Indiana,US,Wind farm,2016,150,-87.269,40.641
AWS,Amazon Solar Farm UK - Warley,United Kingdom,United Kingdom,United Kingdom,Solar farm,2024,47,0.34,51.535
AWS,Amazon Wind Farm China – Daqing,China,China,China,Wind farm,2023,100,124.867,46.533
AWS,Amazon Solar Farm Virginia - Foxglove,Frederick County,Virginia,US,Solar farm,2023,55,-78.271,39.065
AWS,Amazon Solar Farm Indiana - Randolph II,Randolph County,Indiana,US,Solar farm,2024,150,-85.17,40.145
"25% AWS, 75% Amazon.com",Amazon Solar Farm India - Rajasthan Bhadla,Rajasthan,India,India,Solar farm,2023,100,72.477,27.508
AWS,Amazon Wind Farm Northern Ireland - Ballykeel,United Kingdom,United Kingdom,United Kingdom,Wind farm,2023,16.1,-5.914,54.856
AWS,Amazon Solar Farm Spain - Escatron,Spain,Spain,Spain,Solar farm,2025,69.69,-0.428,41.254
AWS,Amazon Wind Farm California - Tehachapi,Kern County,California,US,Wind farm,2020,46.8,-118.45,35.123
AWS,Amazon Solar Farm Japan I,Japan,Japan,Japan,Solar farm,2023,22,139.421,36.311
AWS,Amazon Solar Farm Spain – I,Spain,Spain,Spain,Solar farm,2023,28.6,-4.644,42.135
AWS,Amazon Solar+Wind Farm India - Rajgarh,India,India,India,Solar farm,2024,150,75.13,22.7
AWS,Amazon Solar Farm Spain - La Pared,Spain,Spain,Spain,Solar farm,2025,174,-2.29,37.12
AWS,Amazon Solar Farm Virginia - Alton Post,Halifax,Virginia,US,Solar farm,2023,75,-79.033,36.569
"50% AWS, 50% Amazon.com",Amazon Solar Farm Spain - IV,Spain,Spain,Spain,Solar farm,2023,92,-5.767,39.303
AWS,Amazon Wind Farm Nebraska - Little Blue,Hastings City,Nebraska,US,Wind farm,2021,250,-98.69,40.255
AWS,Amazon Solar Farm Virginia - Southampton,Southampton County,Virginia,US,Solar farm,2017,100,-77.185,36.674
AWS ,Amazon Wind Farm Finland - Puskakorpi,Finland,Finland,Finland,Wind farm,2023,53,24.184,64.404
AWS,Amazon Solar Farm Arkansas – Horseshoe Lake,Crittenden County,Arkansas,US,Solar farm,2025,200,-90.35,35.009
AWS,Amazon Wind Farm Ohio - Timber Road,Paulding County,Ohio,US,Wind farm,2016,100,-84.546,41.132
"50% AWS, 50% Amazon.com",Amazon Solar Farm Italy - Mazara,Italy,Italy,Italy,Solar farm,2022,40,12.644,37.798
"50% AWS, 50% Amazon.com",Amazon Solar+Wind Farm India - Gadag,India,India,India,Solar farm,2024,200,75.897,15.743
AWS,Amazon Solar Farm Illinois - Warren,Warren County,Illinois,US,Solar farm,2023,35,-90.669,40.896
AWS ,Amazon Solar Farm Ohio - Blue Harvest,Putnam County,Ohio,US,Solar farm,2023,50,-84.274,41.092
AWS & AMZL,Amazon Wind Farm Brazil - Serido,Rio Grande do Norte,Brazil,Brazil,Wind farm,2024,49.5,-6.766,-36.658
AWS,Amazon Solar Farm Delaware - Cedar Creek,Kent County,Delaware,US,Solar farm,2024,74.7,-75.57,39.37
AWS,Amazon Wind Farm - Baltic Eagle,Germany,Germany,Germany,Wind farm,2025,189.64,13.899,54.82
AWS ,Amazon Solar Farm Ohio - Timber Road,Paulding County,Ohio,US,Solar farm,2023,50,-84.726,41.092
AWS,Amazon Wind Farm Sweden – Nysäter,"Sundvall, Västernorrland",Sweden,Sweden,Wind farm,2022,122,17.729,63.428
AWS,Amazon Solar + Storage Farm California - Silver Peak,San Bernardino County,California,US,Solar farm,2024,50,-117.454,34.609
AWS ,Amazon Solar Farm Pennsylvania - Potter,Potter County,Pennsylvania,US,Solar farm,2023,30,-78.044,41.835
