business,name,city,state,country,energyType,date,size,longitude,latitude,aws_percent,aws_size_MW
AWS,Amazon Solar Farm North Carolina - Hawtree Creek,Warren County,North Carolina,US,Solar farm,2021,65,-78.104,36.53,100%,65
AWS,Amazon Solar Farm Virginia - Fort Powhatan,Prince George County,Virginia,US,Solar farm,2021,150,-77.08,37.26,100%,150
AWS,Amazon Wind Farm Scotland - Beinn an Tuirc 3,Argyll and Bute,Scotland,United Kingdom,Wind farm,2021,50,-5.591,55.534,100%,50
AWS,Amazon Solar Farm Spain - Hijar I,Zaragoza,Spain,Spain,Solar farm,2021,49,-0.889,41.649,100%,49
"90% AWS, 10% Amazon.com",Amazon Solar Farm China - Shandong,Shandong,China,China,Solar farm,2021,100,118.88,37.67,90%,90
AWS,Amazon Solar Farm Australia - Suntop,New South Wales,Australia,Australia,Solar farm,2021,105,148.829,-32.583,100%,105
AWS,Amazon Solar Farm Australia - Gunnedah,New South Wales,Australia,Australia,Solar farm,2021,60,150.349,-30.941,100%,60
"15% AWS, 55% Amazon.com, 30% Devices",Amazon Solar Farm Canada - Travers,Alberta,Alberta,Canada,Solar farm,2022,375,-112.73,50.25,55%,206.25
AWS,Amazon Texas Great Prairie Wind Farm,Hansford County,Texas,US,Wind farm,2022,868.56,-101.392,36.497,100%,868.56
AWS,Amazon Wind Farm Illinois - Midland,Henry County,Illinois,US,Wind farm,2022,100,-90.014,41.263,100%,100
AWS,Amazon Wind Farm Illinois - Crescent Ridge,Bureau County,Illinois,US,Wind farm,2022,54,-89.853,41.238,100%,54
AWS,Amazon Solar Farm Illinois - Junction,Lee County,Illinois,US,Solar farm,2022,100,-89.37,41.49,100%,100
AWS,Amazon Solar Farm Kentucky - Garrard,Garrard County,Kentucky,US,Solar farm,2022,50,-84.574,37.595,100%,50
AWS,Amazon Solar Farm Virginia - Powells Creek,Halifax County,Virginia,US,Solar farm,2022,70,-79.028,36.55,100%,70
AWS,Amazon Solar Farm Virginia - Crystal Hill,Halifax County,Virginia,US,Solar farm,2022,65,-78.929,36.695,100%,65
AWS,Amazon Solar Farm Virginia - Sunnybrook,Halifax,Virginia,US,Solar farm,2022,51,-78.83,36.8,100%,51
AWS,Amazon Solar Farm Virginia - Carvers Creek,Gloucester County,Virginia,US,Solar farm,2022,130,-76.608,37.548,100%,130
AWS,Amazon Solar Farm Delaware - Solidago,New Castle County,Delaware,US,Solar farm,2022,50,-75.754,39.395,100%,50
AWS,Amazon Wind Farm Ireland - Donegal,Donegal,Ireland,Ireland,Wind farm,2022,91.2,-8.058,54.648,100%,91.2
"55% AWS, 45% Amazon.com",Amazon Wind Farm UK - Kennoxhead (Phase 1),"Kennoxhead, South Lanarkshire",Scotland,United Kingdom,Wind farm,2022,60,-3.88,55.505,45%,27
"50% AWS, 50% Amazon.com",Amazon Solar Farm Italy - Mazara,Italy,Italy,Italy,Solar farm,2022,40,12.644,37.798,50%,20
"50% AWS, 50% Amazon.com",Amazon Solar Farm Italy - Paterno,Italy,Italy,Italy,Solar farm,2022,26.4,14.84,37.515,50%,13.2
"90% AWS, 10% Amazon.com",Amazon Wind Farm Sweden - Hastkullen,Sweden,Sweden,Sweden,Wind farm,2022,275,17.729,63.428,10%,27.5
AWS,Amazon Wind Farm Sweden – Nysäter,"Sundvall, Västernorrland",Sweden,Sweden,Wind farm,2022,122,17.729,63.428,100%,122
AWS,Amazon Solar Farm South Africa - Adams,Northern Cape Province,South Africa,South Africa,Solar farm,2022,10,23.004,-27.388,100%,10
AWS,Amazon Solar Farm Singapore II,Singapore,Singapore,Singapore,Solar farm,2022,14,103.634,1.298,100%,14
AWS,Amazon Solar Farm Singapore I,Singapore,Singapore,Singapore,Solar farm,2022,50,103.82,1.352,100%,50
"80% AWS, 20% Amazon.com",Amazon Wind Farm Australia - Hawkesdale,Hawkesdale,Victoria,Australia,Wind farm,2022,96.6,142.346,-38.133,80%,77.28
AWS,Amazon Solar Farm Canada - Lathom,Newell,Alberta,Canada,Solar farm,2023,80,-113.23,50.72,100%,80
AWS,Amazon Wind Farm Oklahoma – Ponderosa II,Beaver,Oklahoma,US,Wind farm,2023,100,-100.66,36.74,100%,100
AWS,Amazon Solar Farm Missouri - Altona,Audrain County,Missouri,US,Solar farm,2023,30,-92.141,39.284,100%,30
