year,cloud-provider,cloud-region,cfe-region,em-zone-id,wt-region-id,location,geolocation,provider-cfe-hourly,provider-cfe-annual,power-usage-effectiveness,water-usage-effectiveness,provider-carbon-intensity-market-annual,provider-carbon-intensity-average-consumption-hourly,grid-carbon-intensity-average-consumption-annual,grid-carbon-intensity-marginal-consumption-annual,grid-carbon-intensity-average-production-annual,grid-carbon-intensity,total-ICT-energy-consumption-annual,total-water-input,renewable-energy-consumption,renewable-energy-consumption-goe,renewable-energy-consumption-ppa,renewable-energy-consumption-onsite
2026,Amazon Web Services,sa-east-1,Central Brazil,BR-CS,BRA,South America (São Paulo),"-3.45,-68.95",,1.0,1.12,0.06,0.0,,89.55,709.62,90.41,571.0,,306784156.0,,,,
2026,Amazon Web Services,us-east-1,PJM,US-MIDA-PJM,PJM_DC,US East (N. Virginia),"39.1057,-77.5544 ",,1.0,1.147,0.02,0.0,,396.25,557.17,396.77,565.0,,996204576.0,,,,
2026,Amazon Web Services,us-east-2,PJM,US-MIDA-PJM,PJM_SOUTHWEST_OH,US East (Ohio),"39.8689,-84.3292 ",,1.0,1.12,0.02,0.0,,396.25,557.0,396.77,565.0,,354492504.0,,,,
2026,Amazon Web Services,us-gov-east-1,PJM,US-MIDA-PJM,PJM_DC,GovCloud (US East),"39.1057,-77.5544 ",,1.0,1.137,0.17,0.0,,396.25,557.17,396.77,565.0,,406011921.0,,,,
2026,Amazon Web Services,us-gov-west-1,BPA,US-NW-BPAT,BPA,GovCloud (US West),"45.5371,-122.65 ",,1.0,1.137,0.17,0.0,,119.76,476.66,68.82,427.0,,406011921.0,,,,
2026,Amazon Web Services,us-west-1,CAISO,US-CAL-CISO,CAISO_NORTH,US West (N. California),"36.7783,-119.417931",,1.0,1.183,0.46,0.0,,261.28,381.37,239.67,393.0,,154160322.0,,,,
2026,Amazon Web Services,us-west-2,BPA,US-NW-BPAT,BPA,US West (Oregon),"45.5371,-122.65 ",,1.0,1.117,0.1,0.0,,119.76,476.66,68.82,427.0,,914350635.0,,,,
2026,Google Cloud,africa-south1,South Africa,ZA,ZAF,Johannesburg,,0.16,0.15,1.084,,0.0,646.0,656.85,890.21,701.92,519.25,,,,,,
2026,Google Cloud,asia-east1,Taiwan,TW,TWN,Taiwan,"25.0375,121.5625",0.18,0.17,1.133,,0.0,451.0,439.29,551.9,537.76,623.65,,,,,,
2026,Google Cloud,asia-east2,Hong Kong,HK,HKG,Hong Kong,"22.3,114.2",0.34,0.01,1.116,,0.0,360.0,505.02,486.38,435.36,623.65,,,,,,
2026,Google Cloud,asia-northeast1,Tokyo,JP-TK,JP_TK,Tokyo,"35.6897,139.692",0.19,0.17,1.12,,0.0,459.0,452.85,535.91,545.67,536.0,,,,,,
2026,Google Cloud,asia-northeast2,Kansai,JP-KN,JP_KN,Osaka,"34.6939,135.502",0.36,0.46,1.116,,0.0,385.0,296.19,549.89,357.05,551.0,,,,,,
2026,Google Cloud,asia-northeast3,South Korea,KR,KOR,Seoul,"37.56,126.99",0.42,0.37,1.116,,0.0,378.0,356.57,736.69,443.01,686.0,,,,,,
2026,Google Cloud,asia-south1,Maharashtra,IN-WE,IND,Mumbai,"19.0761,72.8775",0.17,0.09,1.116,,0.0,648.0,678.76,832.74,762.24,679.0,,,,,,
2026,Google Cloud,asia-south2,Uttar Pradesh,IN-NO,IND,Delhi,"28.6092,76.9798",0.36,0.29,1.116,,0.0,529.0,531.83,832.74,562.0,679.0,,,,,,
2026,Google Cloud,asia-southeast1,Singapore,SG,SGP,Singapore,"1.3,103.8",0.04,0.04,1.093,,0.0,372.0,366.85,349.01,487.06,409.0,,,,,,
2026,Google Cloud,asia-southeast2,Indonesia,ID,IDN,Jakarta,"-6.2507,106.869",0.16,0.18,1.116,,0.0,580.0,560.55,779.09,652.36,623.65,,,,,,
2026,Google Cloud,australia-southeast1,New South Wales,AU-NSW,NEM_NSW,Sydney,"-33.8678,151.21",0.37,0.34,1.116,,0.0,501.0,497.5,727.59,546.1,770.0,,,,,,
2026,Google Cloud,australia-southeast2,Victoria,AU-VIC,NEM_VIC,Melbourne,"-37.8142,144.963",0.5,0.39,1.116,,0.0,456.0,454.37,548.15,514.1,665.0,,,,,,
2026,Google Cloud,europe-central2,Poland,PL,PL,Warsaw,"52.23,21.0111",0.39,0.4,1.083,,0.0,723.0,642.88,862.29,794.76,852.0,,,,,,
2026,Google Cloud,europe-north1,Finland,FI,FI,Finland,"60.1708,24.9375",1.0,0.98,1.103,,0.0,46.0,39.32,794.87,89.24,785.0,,,,,,
2026,Google Cloud,europe-north2,,,,Stockholm,"59.3251,18.0711",0.83,1.0,1.083,,0.0,211.82,2.73,561.18,266.9,550.81,,,,,,
2026,Google Cloud,europe-southwest1,Spain,ES,ES,Madrid,"40.3333,-3.8667",0.86,0.87,1.083,,0.0,131.0,89.04,363.46,154.56,370.0,,,,,,
2026,Google Cloud,europe-west1,Belgium,BE,BE,Belgium,"51.1333,4.5667",0.85,0.84,1.077,,0.0,122.0,103.37,415.75,172.79,411.0,,,,,,
2026,Google Cloud,europe-west10,,,,Berlin,"52.5174,13.3951",0.83,0.68,1.083,,0.0,211.82,275.82,561.18,266.9,550.81,,,,,,
2026,Google Cloud,europe-west12,North Italy,IT-NO,IT,Turin,"45.0792,7.6761",0.57,0.73,1.083,,0.0,249.0,201.69,386.08,379.97,386.0,,,,,,
2026,Google Cloud,europe-west2,Great Britain,GB,UK,London,"51.726,-0.3",1.0,0.79,1.083,,0.0,136.0,105.94,424.48,200.18,428.0,,,,,,
2026,Google Cloud,europe-west3,Germany,DE,DE,Frankfurt,"50.1106,8.6822",0.96,0.68,1.083,,0.0,345.0,275.82,731.22,394.14,742.0,,,,,,
2026,Google Cloud,europe-west4,Netherlands,NL,NL,Eemshaven,"51.9167,4.5",0.84,0.83,1.07,,0.0,236.0,208.81,501.34,292.61,487.0,,,,,,
2026,Google Cloud,europe-west6,Switzerland,CH,CH,Zürich,"47.3744,8.5411",1.0,0.98,1.083,,0.0,59.0,15.05,915.49,52.58,779.0,,,,,,
2026,Google Cloud,europe-west8,North Italy,IT-NO,IT,Milan,"45.4669,9.19",0.62,0.73,1.083,,0.0,249.0,201.69,386.08,379.97,386.0,,,,,,
2026,Google Cloud,europe-west9,France,FR,FR,Paris,"48.8567,2.3522",1.0,0.96,1.083,,0.0,34.0,16.3,394.64,45.21,384.0,,,,,,
2026,Google Cloud,me-central1,United Arab Emirates,AE,QAT,Doha,,0.0,0.04,1.092,,0.0,575.0,381.54,461.22,381.54,,,,,,,
2026,Google Cloud,me-central2,Saudi Arabia,SA,SAU,Dammam,,0.0,0.01,1.092,,0.0,569.0,382.23,511.31,505.83,,,,,,,
2026,Google Cloud,me-west1,Israel,IL,ISR,Tel Aviv,"32.0167,34.7667",0.06,0.07,1.092,,0.0,463.0,433.75,497.07,533.04,,,,,,,
2026,Google Cloud,northamerica-northeast1,Quebec,CA-QC,HQ,Montréal,"45.5089,-73.5617",1.0,0.99,1.084,,0.0,2.0,5.48,457.85,28.68,462.0,,,,,,
2026,Google Cloud,northamerica-northeast2,Ontario,CA-ON,IESO_NORTH,Toronto,"43.7417,-79.3733",0.85,0.84,1.084,,0.0,47.0,58.56,396.66,75.79,357.0,,,,,,
2026,Google Cloud,northamerica-south1,,,,Mexico,"23.6585,-102.0077",0.65,0.19,1.084,,0.0,286.79,305.0,565.54,328.98,519.25,,,,,,
2026,Google Cloud,southamerica-east1,Central Brazil,BR-CS,BRA,Sāo Paulo,"-3.45,-68.95",0.91,0.88,1.084,,0.0,56.0,67.32,709.62,90.41,571.0,,,,,,
2026,Google Cloud,southamerica-west1,Chile,CL-SEN,CHL,Santiago,"-33.4372,-70.6506 ",0.98,0.92,1.077,,0.0,56.0,238.0,627.77,272.2,616.0,,,,,,
2026,Google Cloud,us-central1,MISO,US-MIDW-MISO,MISO_MASON_CITY,Iowa,"41.5725,-93.6105 ",0.98,0.87,1.11,,0.0,430.0,412.72,585.88,518.84,539.0,,,,,,
2026,Google Cloud,us-east1,SC,US-CAR-SC,SC,South Carolina,"34.8354,-82.3646 ",0.31,0.31,1.087,,0.0,560.0,575.77,725.76,797.96,728.0,,,,,,
2026,Google Cloud,us-east2,,,,Georgia,"32.3294,-83.1137",0.65,0.42,1.084,,0.0,286.79,340.42,565.54,328.98,519.25,,,,,,
2026,Google Cloud,us-east4,PJM,US-MIDA-PJM,PJM_DC,Northern Virginia,"39.1057,-77.5544 ",0.54,0.62,1.08,,0.0,322.0,323.05,557.17,396.77,565.0,,,,,,
