year,cloud-provider,cloud-region,cfe-region,em-zone-id,wt-region-id,location,geolocation,provider-cfe-hourly,provider-cfe-annual,power-usage-effectiveness,water-usage-effectiveness,provider-carbon-intensity-market-annual,provider-carbon-intensity-average-consumption-hourly,grid-carbon-intensity-average-consumption-annual,grid-carbon-intensity-marginal-consumption-annual,grid-carbon-intensity-average-production-annual,grid-carbon-intensity,total-ICT-energy-consumption-annual,total-water-input,renewable-energy-consumption,renewable-energy-consumption-goe,renewable-energy-consumption-ppa,renewable-energy-consumption-onsite
2023,Amazon Web Services,eu-west-3,France,FR,FR,Europe (Paris),"48.8567,2.3522",,,,0.18,0,,52.87,394.64,45.21,,,,,,,
2023,Amazon Web Services,eu-south-2,Spain,ES,ES,Europe (Spain),"40.3333,-3.8667",,,1.11,0.18,0,,153.86,363.46,154.56,,,,,,,
2023,Amazon Web Services,eu-north-1,Sweden,SE,SE,Europe (Stockholm),"59.3294,18.0686 ",,,1.12,0.18,0,,24.71,791.26,21.28,,,,,,,
2023,Amazon Web Services,eu-central-2,Switzerland,CH,CH,Europe (Zurich),"47.3744,8.5411",,,,0.18,0,,83.8,915.49,52.58,,,,,,,
2023,Amazon Web Services,il-central-1,Israel,IL,ISR,Israel (Tel Aviv),"32.0167,34.7667",,,,0.18,,,533.04,497.07,533.04,,,,,,,
2023,Amazon Web Services,me-south-1,Bahrain,BH,BHR,Middle East (Bahrain),"26.219,50.538 ",,,1.32,0.18,,,700,413.69,700,,,,,,,
2023,Amazon Web Services,me-central-1,United Arab Emirates,AE,ARE,Middle East (UAE),"25.2631,55.2972 ",,,1.36,0.18,,,381.54,416.60,381.54,,,,,,,
2023,Amazon Web Services,sa-east-1,Central Brazil,BR-CS,BRA,South America (São Paulo),"-3.45,-68.95",,,1.18,0.18,,,89.55,709.62,90.41,,,,,,,
2023,Amazon Web Services,us-gov-east-1,PJM,US-MIDA-PJM,PJM_DC,GovCloud (US East),"39.1057,-77.5544 ",,,,0.18,0,,396.25,557.17,396.77,,,,,,,
2023,Amazon Web Services,us-gov-west-1,BPA,US-NW-BPAT,BPA,GovCloud (US West),"45.5371,-122.65 ",,,,0.18,0,,119.76,476.66,68.82,,,,,,,
2023,Amazon Web Services,cn-north-1,,,CHN,China (Beijing),"39.904,116.4075 ",,,,0.18,0,,,843.63,,,,,,,,
2023,Amazon Web Services,cn-northwest-1,,,CHN,China (Ningxia),"38.4795,106.2254 ",,,1.26,0.18,0,,,843.63,,,,,,,,
2023,Microsoft Azure,southeastasia,southeastasia,SG,SGP,Singapore,"1.352,103.835",,,1.34,,,,487.52,349.01,487.06,,,,,,,
2023,Microsoft Azure,brazilsouth,Brazil,BR-CS,BRA,Brazil,"-22.939, -47.045",,,,,,,89.55,709.62,90.41,,,,,,,
2023,Microsoft Azure,northeurope,Finland,FI,FI,Finland,"60.2065, 24.6753",,,,,,,82.34,794.87,89.24,,,,,,,
2023,Microsoft Azure,asiapacific,Indonesia,ID,IDN,Indonesia,"-6.219, 106.867",,,,,,,652.36,779.09,652.36,,,,,,,
2023,Microsoft Azure,newzealandnorth,New Zealand,NZ,NZL,New Zealand,"-36.867, 174.751",,,,,,,96.81,704.69,96.81,,,,,,,
2023,Microsoft Azure,swedencentral,Sweden,SE,SE,Sweden,"59.329,18.067",1,,1.16,,0,,24.71,791.26,21.28,,,,,,,
2023,Microsoft Azure,australiaeast,New South Wales,AU-NSW,NEM_NSW,Australia East,"-33.889, 151.067",,,,,,,545.01,727.59,546.1,,,,,,,
2023,Microsoft Azure,australiasoutheast,Victoria,AU-VIC,NEM_VIC,Australia Southeast,"-37.725, 145.067",,,,,,,498.19,548.15,514.1,,,,,,,
2023,Microsoft Azure,denmarkeast,Denmark,DK-DK2,DK,Denmark,"55.685, 12.584",,,,,,,136.81,643.49,184.21,,,,,,,
2023,Microsoft Azure,greececentral,Greece,GR,GR,Greece Central,"37.987, 23.745",,,,,,,368.75,445.16,342.79,,,,,,,
2023,Microsoft Azure,italynorth,North Italy,IT-NO,IT,Italy North,"45.4669,9.19",,,,,,,298.62,386.08,379.97,,,,,,,
2023,Microsoft Azure,polandcentral,Poland,PL,PL,Poland Central,"52.23,21.0111",,,,,,,749.28,862.29,794.76,,,,,,,
2023,Microsoft Azure,taiwannorth,Taiwan,TW,TWN,Taiwan,"25.0375,121.5625",,,,,,,537.64,551.90,537.76,,,,,,,
2023,Microsoft Azure,austriaeast,Austria,AT,AT,Austria East,"48.217, 16.493",,,,,,,160.36,635.70,81.79,,,,,,,
