year,cloud-provider,cloud-region,cfe-region,em-zone-id,wt-region-id,location,geolocation,provider-cfe-hourly,provider-cfe-annual,power-usage-effectiveness,water-usage-effectiveness,provider-carbon-intensity-market-annual,provider-carbon-intensity-average-consumption-hourly,grid-carbon-intensity-average-consumption-annual,grid-carbon-intensity-marginal-consumption-annual,grid-carbon-intensity-average-production-annual,grid-carbon-intensity,total-ICT-energy-consumption-annual,total-water-input,renewable-energy-consumption,renewable-energy-consumption-goe,renewable-energy-consumption-ppa,renewable-energy-consumption-onsite
2023,Amazon Web Services,ap-southeast-4,Victoria,AU-VIC,NEM_VIC,Asia Pacific (Melbourne),"-37.8142,144.963",,,1.08,0.18,,,498.19,548.15,514.1,,,,,,,
2023,Amazon Web Services,ca-central-1,Quebec,CA-QC,HQ,Canada (Central),"45.5089,-73.5617",,,1.22,0.18,0.0,,30.51,457.85,28.68,,,,,,,
2023,Amazon Web Services,cn-north-1,,,CHN,China (Beijing),"39.904,116.4075 ",,,,0.18,0.0,,,843.63,,,,,,,,
2023,Amazon Web Services,cn-northwest-1,,,CHN,China (Ningxia),"38.4795,106.2254 ",,,1.26,0.18,0.0,,,843.63,,,,,,,,
2023,Amazon Web Services,eu-central-1,Germany,DE,DE,Europe (Frankfurt),"50.1106,8.6822",,,1.33,0.18,0.0,,370.93,731.22,394.14,,,,,,,
2023,Amazon Web Services,eu-central-2,Switzerland,CH,CH,Europe (Zurich),"47.3744,8.5411",,,,0.18,0.0,,83.8,915.49,52.58,,,,,,,
2023,Amazon Web Services,eu-north-1,Sweden,SE,SE,Europe (Stockholm),"59.3294,18.0686 ",,,1.12,0.18,0.0,,24.71,791.26,21.28,,,,,,,
2023,Amazon Web Services,eu-south-1,North Italy,IT-NO,IT,Europe (Milan),"45.4669,9.19",,,,0.18,0.0,,298.62,386.08,379.97,,,,,,,
2023,Amazon Web Services,eu-south-2,Spain,ES,ES,Europe (Spain),"40.3333,-3.8667",,,1.11,0.18,0.0,,153.86,363.46,154.56,,,,,,,
2023,Amazon Web Services,eu-west-1,Ireland,IE,IE,Europe (Ireland),"53.35,-6.2603 ",,,1.1,0.18,0.0,,403.4,488.25,416.03,,,,,,,
2023,Amazon Web Services,eu-west-2,Great Britain,GB,UK,Europe (London),"51.726,-0.3",,,,0.18,0.0,,187.89,424.48,200.18,,,,,,,
2023,Amazon Web Services,eu-west-3,France,FR,FR,Europe (Paris),"48.8567,2.3522",,,,0.18,0.0,,52.87,394.64,45.21,,,,,,,
2023,Amazon Web Services,il-central-1,Israel,IL,ISR,Israel (Tel Aviv),"32.0167,34.7667",,,,0.18,,,533.04,497.07,533.04,,,,,,,
2023,Amazon Web Services,me-central-1,United Arab Emirates,AE,ARE,Middle East (UAE),"25.2631,55.2972 ",,,1.36,0.18,,,381.54,416.6,381.54,,,,,,,
2023,Amazon Web Services,me-south-1,Bahrain,BH,BHR,Middle East (Bahrain),"26.219,50.538 ",,,1.32,0.18,,,700.0,413.69,700.0,,,,,,,
2023,Amazon Web Services,sa-east-1,Central Brazil,BR-CS,BRA,South America (São Paulo),"-3.45,-68.95",,,1.18,0.18,,,89.55,709.62,90.41,,,,,,,
2023,Amazon Web Services,us-east-1,PJM,US-MIDA-PJM,PJM_DC,US East (N. Virginia),"39.1057,-77.5544 ",,,1.15,0.18,0.0,,396.25,557.17,396.77,,,,,,,
2023,Amazon Web Services,us-east-2,PJM,US-MIDA-PJM,PJM_SOUTHWEST_OH,US East (Ohio),"39.8689,-84.3292 ",,,1.12,0.18,0.0,,396.25,557.0,396.77,,,,,,,
2023,Amazon Web Services,us-gov-east-1,PJM,US-MIDA-PJM,PJM_DC,GovCloud (US East),"39.1057,-77.5544 ",,,,0.18,0.0,,396.25,557.17,396.77,,,,,,,
2023,Amazon Web Services,us-gov-west-1,BPA,US-NW-BPAT,BPA,GovCloud (US West),"45.5371,-122.65 ",,,,0.18,0.0,,119.76,476.66,68.82,,,,,,,
2023,Amazon Web Services,us-west-1,CAISO,US-CAL-CISO,CAISO_NORTH,US West (N. California),"36.7783,-119.417931",,,1.17,0.18,0.0,,261.28,381.37,239.67,,,,,,,
2023,Amazon Web Services,us-west-2,BPA,US-NW-BPAT,BPA,US West (Oregon),"45.5371,-122.65 ",,,1.13,0.18,0.0,,119.76,476.66,68.82,,,,,,,
2023,Google Cloud,africa-south1,South Africa,ZA,ZAF,Johannesburg,,0.16,,,,,646.0,702.03,890.21,701.92,,,,,,,
2023,Google Cloud,asia-east1,Taiwan,TW,TWN,Taiwan,"25.0375,121.5625",0.18,,1.12,,0.0,451.0,537.64,551.9,537.76,,,,,,,
2023,Google Cloud,asia-east2,Hong Kong,HK,HKG,Hong Kong,"22.3,114.2",0.28,,,,0.0,360.0,435.36,486.38,435.36,,,,,,,
2023,Google Cloud,asia-northeast1,Tokyo,JP-TK,JP_TK,Tokyo,"35.6897,139.692",0.16,,,,0.0,459.0,536.06,535.91,545.67,,,,,,,
2023,Google Cloud,asia-northeast2,Kansai,JP-KN,JP_KN,Osaka,"34.6939,135.502",0.3,,,,0.0,385.0,370.3,549.89,357.05,,,,,,,
2023,Google Cloud,asia-northeast3,South Korea,KR,KOR,Seoul,"37.56,126.99",0.35,,,,0.0,378.0,443.05,736.69,443.01,,,,,,,
