year,cloud-provider,cloud-region,cfe-region,em-zone-id,wt-region-id,location,geolocation,provider-cfe-hourly,provider-cfe-annual,power-usage-effectiveness,water-usage-effectiveness,provider-carbon-intensity-market-annual,provider-carbon-intensity-average-consumption-hourly,grid-carbon-intensity-average-consumption-annual,grid-carbon-intensity-marginal-consumption-annual,grid-carbon-intensity-average-production-annual,grid-carbon-intensity,total-ICT-energy-consumption-annual,total-water-input,renewable-energy-consumption,renewable-energy-consumption-goe,renewable-energy-consumption-ppa,,renewable-energy-consumption-onsite
2023,Microsoft Azure,australiasoutheast,Victoria,AUS-VIC,NEM_VIC,Australia Southeast,"-37.725, 145.067",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,denmarkeast,Denmark,DK,DK,Denmark,"55.685, 12.584",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,greececentral,Greece,GR,GR,Greece Central,"37.987, 23.745",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,italynorth,North Italy,IT,IT,Italy North,"45.4669,9.19",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,polandcentral,Poland,PL,PL,Poland Central,"52.23,21.0111",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,taiwannorth,Taiwan,TW,TW,Taiwan,"25.0375,121.5625",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,austriaeast,Austria,AT,AT,Austria East,"48.217, 16.493",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,northeurope,Ireland,IE,IE,Ireland,"53.35,-6.2603 ",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,westeurope,Netherlands,NL,NL,Netherlands,"51.9167,4.5",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,indiasouthcentral,India,IND,IND,India South Central,"17.385,78.4867 ",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,mexicocentral,Mexico,MX_SIN,MX_SIN,Mexico Central,"20.631, -100.428",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,spaincentral,Spain,ES,ES,Spain Central,"40.44,-3.679",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,westus3,,,,Arizona: west US 3,"33.471,-112.056",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,eastus3,SOCO,US-SE-SOCO,SOCO,Georgia: East US 3,"33.76,-84.401",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,northcentralus,MISO,US-MIDW-MISO,MISO,Illinois: North Central US,"41.832,-87.673",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,centralus,MISO,US-MIDW-MISO,MISO,Iowa: Central US,"41.573,-93.608",,,,,0,,,,,,,,,,,,
2023,Microsoft Azure,southcentralus,ERCOT,US-TEX-ERCO,ERCOT,Texas: South Central US,"29.453,-98.508",,,,,0,,,,,,,,,,,,
2023,Microsoft Azure,eastus,PJM,US-MIDA-PJM,PJM_DC,Virginia: East US,"36.68,-78.377",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,eastus2,PJM,US-MIDA-PJM,PJM_DC,Virginia: East US 2,"36.68,-78.377",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,westus,BPA,US-NW-BPAT,BPA,Washington: West US,"47.247,-119.82",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,westcentralus,,,,Wyoming: West Central US,"41.130,-104.83",,,,,,,,,,,,,,,,,
2022,Google Cloud,asia-east1,Taiwan,TW,TW,Taiwan,"25.0375,121.5625",0.18,,1.120,,0,453,,,,,,,,,,,
2022,Google Cloud,asia-east2,Hong Kong,HK,HK,Hong Kong,"22.3,114.2",0.28,,,,0,360,,,,,,,,,,,
2022,Google Cloud,asia-northeast1,Tokyo,JP-TK,JP_TK,Tokyo,"35.6897,139.692",0.16,,,,0,463,,535.9531592,,536,,,,,,,
2022,Google Cloud,asia-northeast2,Kansai,JP-KN,JP_KN,Osaka,"34.6939,135.502",0.32,,,,0,383,,550.5322311,,551,,,,,,,
2022,Google Cloud,asia-northeast3,South Korea,KR,KOR,Seoul,"37.56,126.99",0.31,,,,0,425,,686.0136038,,686,,,,,,,
2022,Google Cloud,asia-south1,Maharashtra,IN-MH,IND,Mumbai,"19.0761,72.8775",0.24,,,,0,555,,679.4097431,,679,,,,,,,
2022,Google Cloud,asia-south2,Uttar Pradesh,IN-UP,IND,Delhi,"28.6092,76.9798",0.23,,,,0,632,,679.4097431,,679,,,,,,,
2022,Google Cloud,asia-southeast1,Singapore,SG,SGP,Singapore,"1.3,103.8",0.04,,1.200,,0,372,,409.1860208,,409,,,,,,,
2022,Google Cloud,asia-southeast2,Indonesia,ID,ID,Jakarta,"-6.2507,106.869",0.13,,,,0,580,,,,,,,,,,,
