year,cloud-provider,cloud-region,cfe-region,em-zone-id,wt-region-id,location,geolocation,provider-cfe-hourly,provider-cfe-annual,power-usage-effectiveness,water-usage-effectiveness,provider-carbon-intensity-market-annual,provider-carbon-intensity-average-consumption-hourly,grid-carbon-intensity-average-consumption-annual,grid-carbon-intensity-marginal-consumption-annual,grid-carbon-intensity-average-production-annual,grid-carbon-intensity,total-ICT-energy-consumption-annual,total-water-input,renewable-energy-consumption,renewable-energy-consumption-goe,renewable-energy-consumption-ppa,Unnamed: 23,renewable-energy-consumption-onsite
2024,Amazon Web Services,us-west-2,BPA,US-NW-BPAT,BPA,US West (Oregon),"45.5371,-122.65 ",1.0,1.0,1.1324999999999998,0.15499999999999997,0.0,,,,,,,,,,,,
2024,Google Cloud,africa-south1,South Africa,ZA,ZA,Johannesburg,,1.0,1.0,1.0,,,,,,,,,,,,,,
2024,Google Cloud,asia-east1,Taiwan,TW,TW,Taiwan,"25.0375,121.5625",0.1775,1.0,1.1187500000000001,,0.0,428.5,,,,,,,,,,,
2024,Google Cloud,asia-east2,Hong Kong,HK,HK,Hong Kong,"22.3,114.2",0.35000000000000003,1.0,1.0,,0.0,323.5,,,,,,,,,,,
2024,Google Cloud,asia-northeast1,Tokyo,JP-TK,JP_TK,Tokyo,"35.6897,139.692",0.2,1.0,1.0,,0.0,431.5,,,,,,,,,,,
2024,Google Cloud,asia-northeast2,Kansai,JP-KN,JP_KN,Osaka,"34.6939,135.502",0.375,1.0,1.0,,0.0,377.75,,,,,,,,,,,
2024,Google Cloud,asia-northeast3,South Korea,KR,KOR,Seoul,"37.56,126.99",0.4375,1.0,1.0,,0.0,350.0,,,,,,,,,,,
2024,Google Cloud,asia-south1,Maharashtra,IN-WE,IND,Mumbai,"19.0761,72.8775",0.17500000000000002,1.0,1.0,,0.0,622.0,,,,,,,,,,,
2024,Google Cloud,asia-south2,Uttar Pradesh,IN-NO,IND,Delhi,"28.6092,76.9798",0.38666666666666666,1.0,1.0,,0.0,486.3333333333333,,,,,,,,,,,
2024,Google Cloud,asia-southeast1,Singapore,SG,SGP,Singapore,"1.3,103.8",0.0425,1.0,1.16875,,0.0,341.75,,,,,,,,,,,
2024,Google Cloud,asia-southeast2,Indonesia,ID,ID,Jakarta,"-6.2507,106.869",0.1625,1.0,1.0,,0.0,563.25,,,,,,,,,,,
2024,Google Cloud,australia-southeast1,New South Wales,AU-NSW,NEM_NSW,Sydney,"-33.8678,151.21",0.385,1.0,1.0,,0.0,445.0,,,,,,,,,,,
2024,Google Cloud,australia-southeast2,Victoria,AU-VIC,NEM_VIC,Melbourne,"-37.8142,144.963",0.5333333333333333,1.0,1.0,,0.0,377.6666666666667,,,,,,,,,,,
2024,Google Cloud,europe-central2,Poland,PL,PL,Warsaw,"52.23,21.0111",0.41333333333333333,1.0,1.0,,0.0,756.6666666666666,,,,,,,,,,,
2024,Google Cloud,europe-north1,Finland,FI,FI,Finland,"60.1708,24.9375",1.0,1.0,1.08125,,0.0,12.25,,,,,,,,,,,
2024,Google Cloud,europe-southwest1,Spain,ES,ES,Madrid,"40.3333,-3.8667",1.0,1.0,1.0,,0.0,136.0,,,,,,,,,,,
2024,Google Cloud,europe-west1,Belgium,BE,BE,Belgium,"51.1333,4.5667",0.855,1.0,1.08125,,0.0,103.5,,,,,,,,,,,
